a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,1,1,0,0,1,0,1,0,0
2,2,2,1,1,2,2,0,0,0,1,0,0,0,0
3,2,3,2,2,1,2,1,1,0,1,0,0,0,0
4,2,4,0,0,1,3,2,1,1,1,0,0,1,0
5,2,5,3,3,1,1,2,0,1,1,0,0,0,0
6,2,6,4,4,3,4,0,1,1,1,0,2,2,0
7,1,7,1,1,1,1,1,0,0,1,0,3,0,1
8,2,8,3,3,0,3,0,0,1,2,0,4,0,1
9,2,9,0,0,1,1,1,0,0,3,0,0,0,1
5,2,10,5,5,1,1,1,1,0,1,0,5,0,1
10,0,11,0,0,1,3,1,2,0,1,0,0,3,1
11,2,12,0,0,0,0,3,0,1,1,0,6,0,0
12,2,13,6,6,0,5,0,1,0,1,0,4,0,0
13,2,14,7,7,1,6,1,2,0,1,0,0,4,1
14,2,15,8,8,1,7,1,3,0,1,0,3,5,0
15,1,16,1,1,0,8,3,0,0,1,0,7,0,0
12,2,17,1,1,0,9,4,0,0,1,0,0,0,0
2,2,18,2,2,1,5,1,0,0,1,0,4,0,0
16,1,19,3,3,2,1,4,0,1,1,0,3,0,1
13,2,20,9,9,1,3,1,0,0,1,0,8,0,1
17,2,21,1,1,4,4,4,1,1,1,0,9,0,0
18,3,22,4,4,1,8,1,1,0,1,0,0,0,0
16,2,23,2,2,1,7,1,0,0,1,1,0,0,0
19,2,24,1,1,2,10,4,0,1,1,0,0,0,0
20,4,25,0,0,1,10,1,0,0,1,0,0,0,1
21,2,26,1,1,0,6,3,0,0,1,0,0,0,0
17,5,27,5,5,1,11,1,2,0,1,0,8,6,1
0,2,28,1,1,2,1,0,0,0,1,0,5,0,0
6,2,29,1,1,1,6,1,0,0,1,0,0,0,0
11,4,30,6,6,0,12,0,0,0,1,0,10,0,0
22,2,31,5,5,0,5,3,1,0,1,0,11,0,0
23,2,32,0,0,2,1,3,0,0,1,2,0,0,0
10,3,33,5,5,1,0,3,0,0,1,0,0,0,0
