A,B,C,D,E,F,G,H,I,J
0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,1,1
2,2,2,2,2,0,1,2,2,1
3,3,3,3,2,0,0,1,1,0
4,4,4,4,3,0,0,3,3,0
4,5,5,5,4,1,1,0,4,1
5,6,6,6,5,1,1,4,5,0
6,7,7,7,6,2,0,5,6,0
6,8,8,8,1,0,0,6,7,2
7,9,9,9,1,1,0,7,7,3
8,10,10,10,2,1,1,5,8,0
9,11,11,11,7,0,1,1,9,0
10,12,7,7,2,2,0,8,10,0
10,13,7,7,6,2,2,5,7,2
11,14,12,12,1,2,2,5,7,3
11,15,7,7,2,2,2,1,11,3
11,12,7,7,1,2,2,1,11,3
12,16,12,12,1,3,3,1,11,3
13,14,12,12,1,2,2,1,7,2
14,17,12,12,8,0,2,9,11,3
14,14,12,12,1,2,2,0,7,2
15,18,13,13,9,1,0,1,12,1
16,14,12,12,1,2,2,5,11,3
17,19,12,12,1,2,2,0,13,1
18,20,7,7,9,2,2,1,7,2
19,21,7,7,10,0,0,8,14,1
20,22,7,7,6,1,0,0,15,0
20,14,12,12,1,2,2,10,11,2
20,23,7,7,0,0,2,1,7,2
21,24,13,13,1,0,0,1,16,0
21,25,14,14,5,0,0,1,17,0
21,26,15,15,1,0,0,1,11,2
21,27,16,16,9,2,2,0,11,3
22,28,7,7,1,1,0,0,7,3
23,29,12,12,1,0,1,1,18,0
23,30,7,7,1,2,0,6,19,0
23,19,7,7,2,2,2,11,7,3
23,31,12,12,1,2,2,0,11,3
23,32,12,12,9,1,1,12,20,1
24,33,17,17,1,0,0,8,6,0
24,31,18,18,6,3,0,13,11,2
24,34,12,12,1,2,2,2,7,2
24,28,12,12,9,2,1,0,21,1
24,35,7,7,0,2,2,6,22,1
24,33,19,19,2,2,0,2,23,1
24,36,20,20,11,1,0,2,24,1
25,37,21,21,1,0,0,2,11,3
25,38,7,7,6,0,2,12,11,3
25,39,15,15,11,2,2,1,11,3
25,33,20,20,10,2,2,0,11,3
25,40,15,15,11,0,0,0,6,1
25,41,0,0,0,2,2,0,25,1
26,30,7,7,6,2,0,0,11,3
26,14,12,12,1,2,2,0,7,2
26,26,13,13,6,2,2,0,26,1
27,42,7,7,1,2,2,6,11,3
28,43,6,6,9,3,2,0,7,2
28,43,6,6,9,3,2,8,7,2
29,44,4,4,1,0,0,1,27,0
29,45,22,22,9,1,0,0,28,0
29,14,12,12,1,2,2,6,7,2
30,46,23,23,1,0,0,14,29,0
30,14,12,12,1,2,2,15,7,2
31,47,0,0,5,2,2,0,11,3
31,48,17,17,1,2,2,0,11,3
31,49,7,7,5,1,0,8,30,1
32,14,12,12,1,2,1,7,11,2
32,50,12,12,1,0,0,1,11,3
32,24,7,7,6,2,0,3,11,3
32,35,6,6,9,3,2,13,11,3
32,51,4,4,12,2,0,12,31,1
33,52,20,20,13,0,0,8,32,0
33,53,24,24,8,2,2,6,11,3
34,14,12,12,1,2,2,8,11,2
35,54,17,17,1,3,0,13,11,2
35,55,7,7,1,2,2,1,11,3
36,45,18,18,6,1,0,11,33,0
36,40,19,19,11,2,2,0,34,0
36,14,12,12,1,2,2,6,7,2
36,45,25,25,1,1,0,0,11,3
36,14,12,12,1,2,2,1,7,2
36,56,26,26,1,2,0,6,35,1
37,53,15,15,11,0,0,2,6,0
37,57,14,14,0,0,0,0,36,0
38,58,1,1,1,0,0,14,37,0
39,59,27,27,1,4,3,13,38,0
39,60,6,6,1,0,0,8,26,0
40,61,4,4,1,0,0,5,17,0
40,62,15,15,2,1,0,9,29,0
40,63,15,15,2,2,0,0,6,1
41,45,28,28,6,2,2,6,7,0
41,64,29,29,5,2,0,6,39,0
41,65,4,4,12,0,0,8,40,0
41,66,20,20,2,1,0,0,41,0
41,63,22,22,1,1,0,0,42,0
41,67,1,1,1,0,0,1,6,0
41,14,12,12,1,2,2,1,11,2
41,68,20,20,1,3,0,1,11,3
41,30,30,30,1,2,1,12,43,3
41,14,12,12,1,2,2,1,7,2
41,14,12,12,1,2,2,8,7,2
41,14,12,12,1,2,2,0,7,2
41,14,12,12,1,2,2,1,7,2
41,69,12,12,1,0,0,8,7,2
41,44,31,31,1,2,2,0,44,1
41,70,4,4,2,0,0,6,45,1
42,71,4,4,1,2,0,0,11,2
43,72,31,31,1,2,0,1,46,0
44,73,9,9,9,2,2,2,7,0
44,74,4,4,1,0,0,3,25,0
44,14,12,12,1,2,2,0,11,2
44,75,32,32,1,0,0,2,47,1
44,64,33,33,5,2,0,2,40,1
44,76,34,34,6,2,0,2,48,1
45,77,35,35,5,1,0,7,49,0
46,75,20,20,2,0,0,14,50,0
46,78,36,36,1,0,0,7,1,0
46,79,36,36,9,0,1,0,28,0
46,48,17,17,1,1,0,0,7,2
46,44,12,12,9,0,2,0,11,3
46,80,37,37,9,2,2,0,11,3
46,81,32,32,1,2,0,6,51,1
46,60,20,20,2,0,0,1,17,1
46,67,18,18,1,0,0,0,52,1
46,82,31,31,11,2,2,1,53,1
47,67,20,20,13,1,0,7,54,0
47,14,12,12,1,2,2,1,7,2
47,83,2,2,2,2,0,12,55,1
48,84,28,28,1,0,0,1,46,0
48,67,38,38,6,1,0,1,56,0
48,85,39,39,2,0,0,8,57,0
48,73,40,40,11,2,2,1,7,2
48,14,12,12,1,2,2,1,7,2
48,86,35,35,1,2,0,5,58,1
49,68,7,7,6,0,0,6,59,0
49,67,2,2,1,0,0,12,60,0
49,81,17,17,1,0,0,6,61,0
49,73,20,20,1,0,0,0,62,0
49,83,0,0,2,1,0,0,41,0
49,67,41,41,11,1,0,12,7,2
49,86,41,41,1,0,0,12,11,3
49,79,39,39,1,2,2,0,11,3
49,87,4,4,9,2,2,0,11,3
49,14,12,12,1,2,2,12,7,2
49,14,12,12,1,2,2,0,7,2
49,88,17,17,2,0,0,5,63,1
49,65,41,41,1,2,0,5,40,1
50,70,32,32,1,2,2,1,11,3
50,14,12,12,1,2,2,1,7,2
50,14,12,12,1,2,2,1,7,2
