A,B,C,D,E
51,35,14,2,1
49,30,14,2,1
47,32,13,2,1
46,31,15,2,1
50,36,14,2,1
54,39,17,4,1
46,34,14,3,1
50,34,15,2,1
44,29,14,2,1
54,37,15,2,1
48,34,16,2,1
48,30,14,1,1
43,30,11,1,1
58,40,12,2,1
57,44,15,4,1
54,39,13,4,1
51,35,14,3,1
57,38,17,3,1
51,38,15,3,1
54,34,17,2,1
51,37,15,4,1
46,36,10,2,1
51,33,17,5,1
48,34,19,2,1
50,30,16,2,1
50,34,16,4,1
52,35,15,2,1
52,34,14,2,1
47,32,16,2,1
48,31,16,2,1
54,34,15,4,1
52,41,15,1,1
55,42,14,2,1
49,31,15,1,1
50,32,12,2,1
55,35,13,2,1
49,31,15,1,1
44,30,13,2,1
51,34,15,2,1
50,35,13,3,1
45,23,13,3,1
44,32,13,2,1
50,35,16,6,1
51,38,19,4,1
48,30,14,3,1
51,38,16,2,1
46,32,14,2,1
53,37,15,2,1
50,33,14,2,1
