a,b,c,d,e,f,g,h,i,j,k,l,m
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,0,0,0
2,1,2,2,1,0,1,0,0,0,1,0,0
3,1,3,3,0,2,0,0,0,0,0,0,0
4,0,4,4,0,0,0,0,0,0,1,0,0
5,1,5,5,0,3,0,0,0,0,2,0,0
6,1,6,6,1,2,1,0,0,1,0,0,1
7,0,0,7,0,4,0,0,0,1,0,0,1
8,1,2,8,1,0,1,0,1,0,1,0,0
9,1,3,9,0,2,0,0,0,0,2,0,0
10,1,2,10,2,0,0,0,1,0,1,0,0
11,0,7,11,0,5,0,0,0,0,2,0,0
12,1,8,11,0,0,0,0,0,0,1,0,0
13,1,6,12,2,0,0,0,0,0,1,0,0
14,1,1,13,0,6,0,0,0,1,2,1,1
15,0,9,14,2,2,0,0,0,1,2,2,2
16,1,6,15,2,5,0,0,0,1,0,0,2
17,1,3,16,0,2,0,0,0,0,2,0,0
18,1,10,17,0,2,0,0,0,0,2,0,0
19,0,11,18,2,0,0,1,0,1,1,2,2
